team_name,players
Arsenal,Cech;Gabriel;Koscielny;Holding;Chamberlain;Ramsey;Xhaka;Ozil;Monreal;Giroud;Sanchez
Chelsea,Courtois;Azpilicueta;David Luiz;Ake;Moses;Kante;Matic;Alonso;Pedro;Costa;Hazard
Tottenham Hotspur,Lloris;Walker;Alderweireld;Vertonghen;Davies;Dier;Dembele;Kane;Son;Alli;Eriksen
Liverpool,Mignolet;Clyne;Lovren;Matip;Milner;Can;Wijnaldum;Lucas;Origi;Coutinho;Firmino
Manchester City,Bravo;Navas;Kompany;Otamendi;Yaya Toure;Fernandinho;De Bruyne;Silva;Aguero;Sane
Manchester United,de Gea;Bailly;Young;Blind;Darmian;Herrera;Fellaini;Pogba;Martial;Lingard;Rooney
Everton,Stekelenburg;Holgate;Jagielka;Williams;Baines;Gueye;Schneiderlin;Davies;Barkley;Mirallas;Lukaku
West Bromwich Albion,Foster;Dawson;McAuley;Evans;Brunt;Livermore;Yacob;Fletcher;Chadli;Robson-Kanu;Phillips
Stoke City,Butland;Shawcross;Martins Indi;Johnson;Pieters;Shaqiri;Cameron;Allen;Arnautovic;Berahino;Crouch
West Ham United,Adrian;Reid;Fonte;Collins;Masuaku;Fernandes;Kouyate;Nordtveit;Ayew;Calleri;Lanzini
Southampton,Forster;Cedric;Stephens;Yoshida;Bertrand;Davis;Davis;Tadic;Ward-Prowse;Redmond;Gabbiadini
Burnley,Heaton;Lowton;Keane;Mee;Ward;Boyd;Barton;Hendrick;Brady;Gray;Barnes
Watford,Gomes;Janmaat;Britos;Prodl;Holebas;Capoue;Doucoure;Cleverley;Niang;Amrabat;Deeney
AFC Bournemouth,Boruc;Smith;Francis;Cook;Daniels;Fraser;Arter;Gosling;Pugh;Afobe;King
Swansea City,Fabianski;Naughton;Fernandez;Mawson;Kingsley;Fer;Britton;Carroll;Ayew;Llorente;Sigurdsson
Middlesbrough,Guzan;Barragan;Chambers;Ayala;Gibson;Friend;de Roon;Clayton;Downing;Negredo;Ramirez
Leicester City,Schmeichel;Simpson;Benalouane;Morgan;Fuchs;Mahrez;Ndidi;Drinkwater;Albrighton;Okazaki;Vardy
Hull City,Jakupovic;Elmohamady;Ranocchia;Maguire;Robertson;N'Diaye;Clucas;Markovic;Evandro;Grosicki
Crystal Palace,Hennessey;Ward;Kelly;Tomkins;Schlupp;Milivojevic;Cabaye;Townsend;Puncheon;Zaha;Christian Benteke
Sunderland,Pickford;Jones;O'Shea;Denayer;Manquillo;Ndong;Cattermole;Gibson;Khazri;Defoe;Anichebe
